"lag1","lat","lon","Acronym","Known_Tipping_system"
0.3962,89.21503,-120,"ARO","Artic Sea Ice"
0.4356,89.21503,0,"ARO","Artic Sea Ice"
0.4562,89.21503,120,"ARO","Artic Sea Ice"
0.5878,87.64494,-160,"ARO","Artic Sea Ice"
0.5393,87.64494,-120,"ARO","Artic Sea Ice"
0.3391,87.64494,-80,"ARO","Artic Sea Ice"
0.438,87.64494,-40,"ARO","Artic Sea Ice"
0.4044,87.64494,0,"ARO","Artic Sea Ice"
0.4603,87.64494,40,"ARO","Artic Sea Ice"
0.4795,87.64494,80,"ARO","Artic Sea Ice"
0.5066,87.64494,120,"ARO","Artic Sea Ice"
0.5752,87.64494,160,"ARO","Artic Sea Ice"
0.4902,86.03115,-168.75,"ARO","Artic Sea Ice"
0.4873,86.03115,-146.25,"ARO","Artic Sea Ice"
0.3303,86.03115,-123.75,"ARO","Artic Sea Ice"
0.5895,86.03115,-101.25,"ARO","Artic Sea Ice"
0.4049,86.03115,-78.75,"ARO","Artic Sea Ice"
0.3838,86.03115,-56.25,"ARO","Artic Sea Ice"
0.438,86.03115,-33.75,"ARO","Artic Sea Ice"
0.5317,86.03115,-11.25,"ARO","Artic Sea Ice"
0.5468,86.03115,11.25,"ARO","Artic Sea Ice"
0.4697,86.03115,33.75,"ARO","Artic Sea Ice"
0.4743,86.03115,56.25,"ARO","Artic Sea Ice"
0.4834,86.03115,78.75,"ARO","Artic Sea Ice"
0.5875,86.03115,101.25,"ARO","Artic Sea Ice"
0.4935,86.03115,123.75,"ARO","Artic Sea Ice"
0.0994,86.03115,146.25,"ARO","Artic Sea Ice"
0.4805,86.03115,168.75,"ARO","Artic Sea Ice"
0.3115,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.306,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.4995,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.5708,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.3514,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.6041,84.39503,-90,"ARO","Artic Sea Ice"
0.2809,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.4154,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.5652,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.5488,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.5758,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.6087,84.39503,8.18182,"ARO","Artic Sea Ice"
0.6227,84.39503,24.54545,"ARO","Artic Sea Ice"
0.5861,84.39503,40.90909,"ARO","Artic Sea Ice"
0.4607,84.39503,57.27273,"ARO","Artic Sea Ice"
0.5108,84.39503,73.63636,"ARO","Artic Sea Ice"
0.4871,84.39503,90,"ARO","Artic Sea Ice"
0.393,84.39503,106.36364,"ARO","Artic Sea Ice"
0.4785,84.39503,122.72727,"ARO","Artic Sea Ice"
0.3946,84.39503,139.09091,"ARO","Artic Sea Ice"
0.4911,84.39503,155.45454,"ARO","Artic Sea Ice"
0.5131,84.39503,171.81818,"ARO","Artic Sea Ice"
0.3512,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.2187,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.2133,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.4145,82.78807,-135,"ARO","Artic Sea Ice"
0.5004,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.6067,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.3224,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.2767,82.78807,-83.57143,"NEN",NA
0.2307,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.4112,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.2151,82.78807,-45,"GIC","Greenland Ice Sheet"
0.2558,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.5857,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.6493,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.6747,82.78807,6.42857,"ARO","Artic Sea Ice"
0.6495,82.78807,19.28572,"ARO","Artic Sea Ice"
0.6498,82.78807,32.14286,"ARO","Artic Sea Ice"
0.5916,82.78807,45,"ARO","Artic Sea Ice"
0.5599,82.78807,57.85714,"ARO","Artic Sea Ice"
0.486,82.78807,70.71429,"ARO","Artic Sea Ice"
0.4916,82.78807,83.57143,"ARO","Artic Sea Ice"
0.441,82.78807,96.42857,"ARO","Artic Sea Ice"
0.4209,82.78807,109.28571,"ARO","Artic Sea Ice"
0.1457,82.78807,122.14286,"ARO","Artic Sea Ice"
0.4609,82.78807,135,"ARO","Artic Sea Ice"
0.4888,82.78807,147.85715,"ARO","Artic Sea Ice"
0.475,82.78807,160.71428,"ARO","Artic Sea Ice"
