"lag1","lat","lon","Acronym","Known_Tipping_system"
0.7462,89.21503,-120,"ARO","Artic Sea Ice"
0.7252,89.21503,0,"ARO","Artic Sea Ice"
0.7467,89.21503,120,"ARO","Artic Sea Ice"
0.7738,87.64494,-160,"ARO","Artic Sea Ice"
0.7605,87.64494,-120,"ARO","Artic Sea Ice"
0.7398,87.64494,-80,"ARO","Artic Sea Ice"
0.7106,87.64494,-40,"ARO","Artic Sea Ice"
0.6973,87.64494,0,"ARO","Artic Sea Ice"
0.7067,87.64494,40,"ARO","Artic Sea Ice"
0.7383,87.64494,80,"ARO","Artic Sea Ice"
0.7616,87.64494,120,"ARO","Artic Sea Ice"
0.7729,87.64494,160,"ARO","Artic Sea Ice"
0.7758,86.03115,-168.75,"ARO","Artic Sea Ice"
0.7825,86.03115,-146.25,"ARO","Artic Sea Ice"
0.7795,86.03115,-123.75,"ARO","Artic Sea Ice"
0.7662,86.03115,-101.25,"ARO","Artic Sea Ice"
0.7455,86.03115,-78.75,"ARO","Artic Sea Ice"
0.7178,86.03115,-56.25,"ARO","Artic Sea Ice"
0.6902,86.03115,-33.75,"ARO","Artic Sea Ice"
0.6815,86.03115,-11.25,"ARO","Artic Sea Ice"
0.6863,86.03115,11.25,"ARO","Artic Sea Ice"
0.7013,86.03115,33.75,"ARO","Artic Sea Ice"
0.7224,86.03115,56.25,"ARO","Artic Sea Ice"
0.7464,86.03115,78.75,"ARO","Artic Sea Ice"
0.7642,86.03115,101.25,"ARO","Artic Sea Ice"
0.775,86.03115,123.75,"ARO","Artic Sea Ice"
0.7815,86.03115,146.25,"ARO","Artic Sea Ice"
0.769,86.03115,168.75,"ARO","Artic Sea Ice"
0.7808,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.7884,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.7939,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.7936,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.7813,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.7668,84.39503,-90,"ARO","Artic Sea Ice"
0.7425,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.7119,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.6791,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.6586,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.6625,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.6767,84.39503,8.18182,"ARO","Artic Sea Ice"
0.6978,84.39503,24.54545,"ARO","Artic Sea Ice"
0.7099,84.39503,40.90909,"ARO","Artic Sea Ice"
0.7326,84.39503,57.27273,"ARO","Artic Sea Ice"
0.7537,84.39503,73.63636,"ARO","Artic Sea Ice"
0.7675,84.39503,90,"ARO","Artic Sea Ice"
0.7771,84.39503,106.36364,"ARO","Artic Sea Ice"
0.7797,84.39503,122.72727,"ARO","Artic Sea Ice"
0.7583,84.39503,139.09091,"ARO","Artic Sea Ice"
0.7635,84.39503,155.45454,"ARO","Artic Sea Ice"
0.7737,84.39503,171.81818,"ARO","Artic Sea Ice"
0.7731,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.7828,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.7942,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.8032,82.78807,-135,"ARO","Artic Sea Ice"
0.8058,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.7961,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.7775,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.6061,82.78807,-83.57143,"NEN",NA
0.0285,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.6973,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.0842,82.78807,-45,"GIC","Greenland Ice Sheet"
0.0283,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.6246,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.6394,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.6494,82.78807,6.42857,"ARO","Artic Sea Ice"
0.6738,82.78807,19.28572,"ARO","Artic Sea Ice"
0.7003,82.78807,32.14286,"ARO","Artic Sea Ice"
0.7183,82.78807,45,"ARO","Artic Sea Ice"
0.7464,82.78807,57.85714,"ARO","Artic Sea Ice"
0.7635,82.78807,70.71429,"ARO","Artic Sea Ice"
0.771,82.78807,83.57143,"ARO","Artic Sea Ice"
0.777,82.78807,96.42857,"ARO","Artic Sea Ice"
0.7772,82.78807,109.28571,"ARO","Artic Sea Ice"
0.7548,82.78807,122.14286,"ARO","Artic Sea Ice"
0.7468,82.78807,135,"ARO","Artic Sea Ice"
0.7557,82.78807,147.85715,"ARO","Artic Sea Ice"
0.7598,82.78807,160.71428,"ARO","Artic Sea Ice"
0.7528,82.78807,173.57143,"ARO","Artic Sea Ice"
0.7577,81.19255,-174.70589,"ARO","Artic Sea Ice"
0.7681,81.19255,-164.11765,"ARO","Artic Sea Ice"
0.7825,81.19255,-153.52942,"ARO","Artic Sea Ice"
0.7983,81.19255,-142.94118,"ARO","Artic Sea Ice"
0.8103,81.19255,-132.35294,"ARO","Artic Sea Ice"
0.8155,81.19255,-121.76471,"ARO","Artic Sea Ice"
0.8107,81.19255,-111.17647,"ARO","Artic Sea Ice"
0.79,81.19255,-100.58823,"NEN",NA
0.2164,81.19255,-90,"NEN",NA
0.0851,81.19255,-79.41177,"NEN",NA
0.0581,81.19255,-68.82353,"GIC","Greenland Ice Sheet"
0.0216,81.19255,-58.23529,"GIC","Greenland Ice Sheet"
0.0338,81.19255,-47.64706,"GIC","Greenland Ice Sheet"
0.0639,81.19255,-37.05882,"GIC","Greenland Ice Sheet"
0.0794,81.19255,-26.47059,"GIC","Greenland Ice Sheet"
0.1179,81.19255,-15.88235,"GIC","Greenland Ice Sheet"
0.598,81.19255,-5.29412,"ARO","Artic Sea Ice"
0.6198,81.19255,5.29412,"ARO","Artic Sea Ice"
0.6509,81.19255,15.88235,"ARO","Artic Sea Ice"
0.688,81.19255,26.47059,"ARO","Artic Sea Ice"
0.7137,81.19255,37.05882,"ARO","Artic Sea Ice"
0.7418,81.19255,47.64706,"ARO","Artic Sea Ice"
0.4497,81.19255,58.23529,"ARO","Artic Sea Ice"
0.7675,81.19255,68.82353,"ARO","Artic Sea Ice"
0.7761,81.19255,79.41177,"ARO","Artic Sea Ice"
0.7771,81.19255,90,"RAR","Yedoma Permafrost"
0.7717,81.19255,100.58823,"RAR","Yedoma Permafrost"
0.767,81.19255,111.17647,"ARO","Artic Sea Ice"
0.7314,81.19255,121.76471,"ARO","Artic Sea Ice"
0.737,81.19255,132.35294,"ARO","Artic Sea Ice"
0.7291,81.19255,142.94118,"ARO","Artic Sea Ice"
0.7306,81.19255,153.52942,"ARO","Artic Sea Ice"
0.7332,81.19255,164.11765,"ARO","Artic Sea Ice"
0.7507,81.19255,174.70589,"ARO","Artic Sea Ice"
0.7342,79.58365,-175.60976,"ARO","Artic Sea Ice"
0.7444,79.58365,-166.82927,"ARO","Artic Sea Ice"
0.7596,79.58365,-158.04878,"ARO","Artic Sea Ice"
0.7783,79.58365,-149.2683,"ARO","Artic Sea Ice"
0.7963,79.58365,-140.48781,"ARO","Artic Sea Ice"
0.811,79.58365,-131.70732,"ARO","Artic Sea Ice"
0.8194,79.58365,-122.92683,"ARO","Artic Sea Ice"
0.8231,79.58365,-114.14634,"ARO","Artic Sea Ice"
0.7907,79.58365,-105.36585,"NWN","Boreal Forest dying"
0.6028,79.58365,-96.58537,"NEN",NA
0.1377,79.58365,-87.80488,"NEN",NA
0.1047,79.58365,-79.02439,"NEN",NA
0.6743,79.58365,-70.2439,"GIC","Greenland Ice Sheet"
0.0443,79.58365,-61.46341,"GIC","Greenland Ice Sheet"
0.0287,79.58365,-52.68293,"GIC","Greenland Ice Sheet"
0.0756,79.58365,-43.90244,"GIC","Greenland Ice Sheet"
0.0981,79.58365,-35.12195,"GIC","Greenland Ice Sheet"
0.1124,79.58365,-26.34146,"GIC","Greenland Ice Sheet"
0.4147,79.58365,-17.56098,"GIC","Greenland Ice Sheet"
0.5215,79.58365,-8.78049,"ARO","Artic Sea Ice"
0.5605,79.58365,0,"ARO","Artic Sea Ice"
0.5941,79.58365,8.78049,"ARO","Artic Sea Ice"
0.2757,79.58365,17.56098,"ARO","Artic Sea Ice"
0.3403,79.58365,26.34146,"ARO","Artic Sea Ice"
0.7096,79.58365,35.12195,"ARO","Artic Sea Ice"
0.7266,79.58365,43.90244,"ARO","Artic Sea Ice"
0.7487,79.58365,52.68293,"ARO","Artic Sea Ice"
0.7567,79.58365,61.46341,"ARO","Artic Sea Ice"
0.7628,79.58365,70.2439,"ARO","Artic Sea Ice"
0.7671,79.58365,79.02439,"ARO","Artic Sea Ice"
0.7612,79.58365,87.80488,"RAR","Yedoma Permafrost"
0.2283,79.58365,96.58537,"RAR","Yedoma Permafrost"
0.7545,79.58365,105.36585,"RAR","Yedoma Permafrost"
0.7152,79.58365,114.14634,"RAR","Yedoma Permafrost"
0.7182,79.58365,122.92683,"ARO","Artic Sea Ice"
0.7082,79.58365,131.70732,"ARO","Artic Sea Ice"
0.7094,79.58365,140.48781,"ARO","Artic Sea Ice"
0.7124,79.58365,149.2683,"ARO","Artic Sea Ice"
0.7251,79.58365,158.04878,"ARO","Artic Sea Ice"
0.7268,79.58365,166.82927,"ARO","Artic Sea Ice"
0.729,79.58365,175.60976,"ARO","Artic Sea Ice"
0.735,77.96286,-176.17021,"ARO","Artic Sea Ice"
0.7394,77.96286,-168.51064,"ARO","Artic Sea Ice"
0.7503,77.96286,-160.85106,"ARO","Artic Sea Ice"
0.7658,77.96286,-153.19148,"ARO","Artic Sea Ice"
0.7834,77.96286,-145.53192,"ARO","Artic Sea Ice"
0.7987,77.96286,-137.87234,"ARO","Artic Sea Ice"
0.8101,77.96286,-130.21277,"ARO","Artic Sea Ice"
0.8186,77.96286,-122.55319,"NWN","Boreal Forest dying"
0.8003,77.96286,-114.89362,"NWN","Boreal Forest dying"
0.8184,77.96286,-107.23404,"NWN","Boreal Forest dying"
0.6005,77.96286,-99.57447,"NEN",NA
0.6601,77.96286,-91.91489,"NEN",NA
0.1725,77.96286,-84.25532,"NEN",NA
0.242,77.96286,-76.59574,"NEN",NA
0.0735,77.96286,-68.93617,"GIC","Greenland Ice Sheet"
0.0568,77.96286,-61.2766,"GIC","Greenland Ice Sheet"
0.0449,77.96286,-53.61702,"GIC","Greenland Ice Sheet"
0.0673,77.96286,-45.95745,"GIC","Greenland Ice Sheet"
0.1102,77.96286,-38.29787,"GIC","Greenland Ice Sheet"
0.1262,77.96286,-30.6383,"GIC","Greenland Ice Sheet"
0.1267,77.96286,-22.97872,"GIC","Greenland Ice Sheet"
0.4432,77.96286,-15.31915,"GIC","Greenland Ice Sheet"
0.4488,77.96286,-7.65957,"ARO","Artic Sea Ice"
0.4991,77.96286,0,"ARO","Artic Sea Ice"
0.5467,77.96286,7.65957,"ARO","Artic Sea Ice"
0.3163,77.96286,15.31915,"ARO","Artic Sea Ice"
0.3567,77.96286,22.97872,"ARO","Artic Sea Ice"
0.6976,77.96286,30.6383,"ARO","Artic Sea Ice"
