"lag1","lat","lon","Acronym","Known_Tipping_system"
0.4183,89.21503,-120,"ARO","Artic Sea Ice"
0.3985,89.21503,0,"ARO","Artic Sea Ice"
0.4167,89.21503,120,"ARO","Artic Sea Ice"
0.4461,87.64494,-160,"ARO","Artic Sea Ice"
0.4324,87.64494,-120,"ARO","Artic Sea Ice"
0.4114,87.64494,-80,"ARO","Artic Sea Ice"
0.3888,87.64494,-40,"ARO","Artic Sea Ice"
0.3688,87.64494,0,"ARO","Artic Sea Ice"
0.3779,87.64494,40,"ARO","Artic Sea Ice"
0.4136,87.64494,80,"ARO","Artic Sea Ice"
0.4366,87.64494,120,"ARO","Artic Sea Ice"
0.4404,87.64494,160,"ARO","Artic Sea Ice"
0.4721,86.03115,-168.75,"ARO","Artic Sea Ice"
0.4683,86.03115,-146.25,"ARO","Artic Sea Ice"
0.4516,86.03115,-123.75,"ARO","Artic Sea Ice"
0.4371,86.03115,-101.25,"ARO","Artic Sea Ice"
0.4201,86.03115,-78.75,"ARO","Artic Sea Ice"
0.4064,86.03115,-56.25,"ARO","Artic Sea Ice"
0.3855,86.03115,-33.75,"ARO","Artic Sea Ice"
0.356,86.03115,-11.25,"ARO","Artic Sea Ice"
0.3462,86.03115,11.25,"ARO","Artic Sea Ice"
0.3664,86.03115,33.75,"ARO","Artic Sea Ice"
0.3934,86.03115,56.25,"ARO","Artic Sea Ice"
0.4199,86.03115,78.75,"ARO","Artic Sea Ice"
0.4423,86.03115,101.25,"ARO","Artic Sea Ice"
0.4555,86.03115,123.75,"ARO","Artic Sea Ice"
0.4631,86.03115,146.25,"ARO","Artic Sea Ice"
0.4684,86.03115,168.75,"ARO","Artic Sea Ice"
0.491,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.4887,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.4809,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.462,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.4498,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.4426,84.39503,-90,"ARO","Artic Sea Ice"
0.4327,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.42,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.411,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.382,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.3486,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.3475,84.39503,8.18182,"ARO","Artic Sea Ice"
0.3645,84.39503,24.54545,"ARO","Artic Sea Ice"
0.3773,84.39503,40.90909,"ARO","Artic Sea Ice"
0.3958,84.39503,57.27273,"ARO","Artic Sea Ice"
0.4182,84.39503,73.63636,"ARO","Artic Sea Ice"
0.4438,84.39503,90,"ARO","Artic Sea Ice"
0.4619,84.39503,106.36364,"ARO","Artic Sea Ice"
0.4722,84.39503,122.72727,"ARO","Artic Sea Ice"
0.4802,84.39503,139.09091,"ARO","Artic Sea Ice"
0.4862,84.39503,155.45454,"ARO","Artic Sea Ice"
0.4897,84.39503,171.81818,"ARO","Artic Sea Ice"
