"lag1","lat","lon","Acronym","Known_Tipping_system"
0.4448,89.21503,-120,"ARO","Artic Sea Ice"
0.5894,89.21503,0,"ARO","Artic Sea Ice"
0.4749,89.21503,120,"ARO","Artic Sea Ice"
0.5288,87.64494,-160,"ARO","Artic Sea Ice"
0.5597,87.64494,-120,"ARO","Artic Sea Ice"
0.4355,87.64494,-80,"ARO","Artic Sea Ice"
0.5527,87.64494,-40,"ARO","Artic Sea Ice"
0.5845,87.64494,0,"ARO","Artic Sea Ice"
0.6157,87.64494,40,"ARO","Artic Sea Ice"
0.576,87.64494,80,"ARO","Artic Sea Ice"
0.5096,87.64494,120,"ARO","Artic Sea Ice"
0.588,87.64494,160,"ARO","Artic Sea Ice"
0.3204,86.03115,-168.75,"ARO","Artic Sea Ice"
0.3769,86.03115,-146.25,"ARO","Artic Sea Ice"
0.3067,86.03115,-123.75,"ARO","Artic Sea Ice"
0.5282,86.03115,-101.25,"ARO","Artic Sea Ice"
0.4801,86.03115,-78.75,"ARO","Artic Sea Ice"
0.539,86.03115,-56.25,"ARO","Artic Sea Ice"
0.5644,86.03115,-33.75,"ARO","Artic Sea Ice"
0.5685,86.03115,-11.25,"ARO","Artic Sea Ice"
0.5777,86.03115,11.25,"ARO","Artic Sea Ice"
0.6123,86.03115,33.75,"ARO","Artic Sea Ice"
0.6389,86.03115,56.25,"ARO","Artic Sea Ice"
0.636,86.03115,78.75,"ARO","Artic Sea Ice"
0.5295,86.03115,101.25,"ARO","Artic Sea Ice"
0.5587,86.03115,123.75,"ARO","Artic Sea Ice"
0.1963,86.03115,146.25,"ARO","Artic Sea Ice"
0.3261,86.03115,168.75,"ARO","Artic Sea Ice"
0.4289,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.4698,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.5741,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.5191,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.3345,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.5744,84.39503,-90,"ARO","Artic Sea Ice"
0.4751,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.5542,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.5631,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.5604,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.5814,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.6041,84.39503,8.18182,"ARO","Artic Sea Ice"
0.5898,84.39503,24.54545,"ARO","Artic Sea Ice"
0.6173,84.39503,40.90909,"ARO","Artic Sea Ice"
0.6397,84.39503,57.27273,"ARO","Artic Sea Ice"
0.6507,84.39503,73.63636,"ARO","Artic Sea Ice"
0.5671,84.39503,90,"ARO","Artic Sea Ice"
0.5188,84.39503,106.36364,"ARO","Artic Sea Ice"
0.5781,84.39503,122.72727,"ARO","Artic Sea Ice"
0.4012,84.39503,139.09091,"ARO","Artic Sea Ice"
0.2909,84.39503,155.45454,"ARO","Artic Sea Ice"
0.3458,84.39503,171.81818,"ARO","Artic Sea Ice"
0.7397,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.5883,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.5837,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.565,82.78807,-135,"ARO","Artic Sea Ice"
0.5704,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.5095,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.4037,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.2831,82.78807,-83.57143,"NEN",NA
-0.0116,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.5532,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.0464,82.78807,-45,"GIC","Greenland Ice Sheet"
0.0902,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.5484,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.5655,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.5907,82.78807,6.42857,"ARO","Artic Sea Ice"
0.6039,82.78807,19.28572,"ARO","Artic Sea Ice"
0.5908,82.78807,32.14286,"ARO","Artic Sea Ice"
0.6097,82.78807,45,"ARO","Artic Sea Ice"
0.6323,82.78807,57.85714,"ARO","Artic Sea Ice"
0.669,82.78807,70.71429,"ARO","Artic Sea Ice"
0.6142,82.78807,83.57143,"ARO","Artic Sea Ice"
0.5241,82.78807,96.42857,"ARO","Artic Sea Ice"
0.6148,82.78807,109.28571,"ARO","Artic Sea Ice"
0.251,82.78807,122.14286,"ARO","Artic Sea Ice"
0.3178,82.78807,135,"ARO","Artic Sea Ice"
0.3462,82.78807,147.85715,"ARO","Artic Sea Ice"
0.3541,82.78807,160.71428,"ARO","Artic Sea Ice"
0.7128,82.78807,173.57143,"ARO","Artic Sea Ice"
0.7195,81.19255,-174.70589,"ARO","Artic Sea Ice"
0.7308,81.19255,-164.11765,"ARO","Artic Sea Ice"
0.7376,81.19255,-153.52942,"ARO","Artic Sea Ice"
0.5948,81.19255,-142.94118,"ARO","Artic Sea Ice"
0.2502,81.19255,-132.35294,"ARO","Artic Sea Ice"
0.4163,81.19255,-121.76471,"ARO","Artic Sea Ice"
0.6146,81.19255,-111.17647,"ARO","Artic Sea Ice"
0.5415,81.19255,-100.58823,"NEN",NA
0.1087,81.19255,-90,"NEN",NA
0.0329,81.19255,-79.41177,"NEN",NA
0.0099,81.19255,-68.82353,"GIC","Greenland Ice Sheet"
-0.012,81.19255,-58.23529,"GIC","Greenland Ice Sheet"
-0.002,81.19255,-47.64706,"GIC","Greenland Ice Sheet"
0.0468,81.19255,-37.05882,"GIC","Greenland Ice Sheet"
0.1037,81.19255,-26.47059,"GIC","Greenland Ice Sheet"
0.1771,81.19255,-15.88235,"GIC","Greenland Ice Sheet"
0.5865,81.19255,-5.29412,"ARO","Artic Sea Ice"
0.6097,81.19255,5.29412,"ARO","Artic Sea Ice"
0.594,81.19255,15.88235,"ARO","Artic Sea Ice"
0.6015,81.19255,26.47059,"ARO","Artic Sea Ice"
0.6024,81.19255,37.05882,"ARO","Artic Sea Ice"
0.5527,81.19255,47.64706,"ARO","Artic Sea Ice"
0.4141,81.19255,58.23529,"ARO","Artic Sea Ice"
0.6566,81.19255,68.82353,"ARO","Artic Sea Ice"
0.6553,81.19255,79.41177,"ARO","Artic Sea Ice"
0.5909,81.19255,90,"RAR","Yedoma Permafrost"
0.5917,81.19255,100.58823,"RAR","Yedoma Permafrost"
0.6482,81.19255,111.17647,"ARO","Artic Sea Ice"
0.5037,81.19255,121.76471,"ARO","Artic Sea Ice"
0.3661,81.19255,132.35294,"ARO","Artic Sea Ice"
0.3767,81.19255,142.94118,"ARO","Artic Sea Ice"
0.2198,81.19255,153.52942,"ARO","Artic Sea Ice"
0.6926,81.19255,164.11765,"ARO","Artic Sea Ice"
0.7124,81.19255,174.70589,"ARO","Artic Sea Ice"
0.6613,79.58365,-175.60976,"ARO","Artic Sea Ice"
0.7207,79.58365,-166.82927,"ARO","Artic Sea Ice"
0.74,79.58365,-158.04878,"ARO","Artic Sea Ice"
0.7486,79.58365,-149.2683,"ARO","Artic Sea Ice"
0.7422,79.58365,-140.48781,"ARO","Artic Sea Ice"
0.5614,79.58365,-131.70732,"ARO","Artic Sea Ice"
0.4102,79.58365,-122.92683,"ARO","Artic Sea Ice"
0.4002,79.58365,-114.14634,"ARO","Artic Sea Ice"
0.6434,79.58365,-105.36585,"NWN","Boreal Forest dying"
0.3532,79.58365,-96.58537,"NEN",NA
0.0998,79.58365,-87.80488,"NEN",NA
0.057,79.58365,-79.02439,"NEN",NA
0.5038,79.58365,-70.2439,"GIC","Greenland Ice Sheet"
0.0249,79.58365,-61.46341,"GIC","Greenland Ice Sheet"
0.0017,79.58365,-52.68293,"GIC","Greenland Ice Sheet"
0.0211,79.58365,-43.90244,"GIC","Greenland Ice Sheet"
0.0494,79.58365,-35.12195,"GIC","Greenland Ice Sheet"
0.085,79.58365,-26.34146,"GIC","Greenland Ice Sheet"
0.3521,79.58365,-17.56098,"GIC","Greenland Ice Sheet"
0.5443,79.58365,-8.78049,"ARO","Artic Sea Ice"
0.5789,79.58365,0,"ARO","Artic Sea Ice"
0.5823,79.58365,8.78049,"ARO","Artic Sea Ice"
0.3028,79.58365,17.56098,"ARO","Artic Sea Ice"
0.3662,79.58365,26.34146,"ARO","Artic Sea Ice"
0.5864,79.58365,35.12195,"ARO","Artic Sea Ice"
0.5486,79.58365,43.90244,"ARO","Artic Sea Ice"
0.5535,79.58365,52.68293,"ARO","Artic Sea Ice"
