"lag1","lat","lon","Acronym","Known_Tipping_system"
0.3819,89.21503,-120,"ARO","Artic Sea Ice"
0.5097,89.21503,0,"ARO","Artic Sea Ice"
0.5425,89.21503,120,"ARO","Artic Sea Ice"
0.247,87.64494,-160,"ARO","Artic Sea Ice"
0.3755,87.64494,-120,"ARO","Artic Sea Ice"
0.2934,87.64494,-80,"ARO","Artic Sea Ice"
0.5114,87.64494,-40,"ARO","Artic Sea Ice"
0.5333,87.64494,0,"ARO","Artic Sea Ice"
0.5323,87.64494,40,"ARO","Artic Sea Ice"
0.4582,87.64494,80,"ARO","Artic Sea Ice"
0.414,87.64494,120,"ARO","Artic Sea Ice"
0.4068,87.64494,160,"ARO","Artic Sea Ice"
0.3639,86.03115,-168.75,"ARO","Artic Sea Ice"
0.3504,86.03115,-146.25,"ARO","Artic Sea Ice"
0.1791,86.03115,-123.75,"ARO","Artic Sea Ice"
0.327,86.03115,-101.25,"ARO","Artic Sea Ice"
0.3616,86.03115,-78.75,"ARO","Artic Sea Ice"
0.4942,86.03115,-56.25,"ARO","Artic Sea Ice"
0.5585,86.03115,-33.75,"ARO","Artic Sea Ice"
0.563,86.03115,-11.25,"ARO","Artic Sea Ice"
0.5776,86.03115,11.25,"ARO","Artic Sea Ice"
0.5843,86.03115,33.75,"ARO","Artic Sea Ice"
0.5453,86.03115,56.25,"ARO","Artic Sea Ice"
0.4961,86.03115,78.75,"ARO","Artic Sea Ice"
0.6228,86.03115,101.25,"ARO","Artic Sea Ice"
0.3576,86.03115,123.75,"ARO","Artic Sea Ice"
-0.0674,86.03115,146.25,"ARO","Artic Sea Ice"
0.3689,86.03115,168.75,"ARO","Artic Sea Ice"
0.1949,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.219,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.3459,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.4227,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.1749,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.366,84.39503,-90,"ARO","Artic Sea Ice"
0.2042,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.5128,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.5812,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.5475,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.5721,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.6096,84.39503,8.18182,"ARO","Artic Sea Ice"
0.627,84.39503,24.54545,"ARO","Artic Sea Ice"
0.5893,84.39503,40.90909,"ARO","Artic Sea Ice"
0.601,84.39503,57.27273,"ARO","Artic Sea Ice"
0.6017,84.39503,73.63636,"ARO","Artic Sea Ice"
0.4937,84.39503,90,"ARO","Artic Sea Ice"
0.4607,84.39503,106.36364,"ARO","Artic Sea Ice"
0.3836,84.39503,122.72727,"ARO","Artic Sea Ice"
0.3114,84.39503,139.09091,"ARO","Artic Sea Ice"
0.4603,84.39503,155.45454,"ARO","Artic Sea Ice"
0.3579,84.39503,171.81818,"ARO","Artic Sea Ice"
0.6284,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.4767,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.4873,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.2938,82.78807,-135,"ARO","Artic Sea Ice"
0.4515,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.4655,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.2469,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.3186,82.78807,-83.57143,"NEN",NA
0.3362,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.5374,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.2671,82.78807,-45,"GIC","Greenland Ice Sheet"
0.1707,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.551,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.5772,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.6055,82.78807,6.42857,"ARO","Artic Sea Ice"
0.6064,82.78807,19.28572,"ARO","Artic Sea Ice"
0.6163,82.78807,32.14286,"ARO","Artic Sea Ice"
0.6066,82.78807,45,"ARO","Artic Sea Ice"
0.6115,82.78807,57.85714,"ARO","Artic Sea Ice"
0.6181,82.78807,70.71429,"ARO","Artic Sea Ice"
0.5583,82.78807,83.57143,"ARO","Artic Sea Ice"
0.6472,82.78807,96.42857,"ARO","Artic Sea Ice"
0.4481,82.78807,109.28571,"ARO","Artic Sea Ice"
-0.0035,82.78807,122.14286,"ARO","Artic Sea Ice"
0.4096,82.78807,135,"ARO","Artic Sea Ice"
0.4002,82.78807,147.85715,"ARO","Artic Sea Ice"
0.3109,82.78807,160.71428,"ARO","Artic Sea Ice"
0.5962,82.78807,173.57143,"ARO","Artic Sea Ice"
0.6126,81.19255,-174.70589,"ARO","Artic Sea Ice"
0.646,81.19255,-164.11765,"ARO","Artic Sea Ice"
0.665,81.19255,-153.52942,"ARO","Artic Sea Ice"
0.5518,81.19255,-142.94118,"ARO","Artic Sea Ice"
-0.0013,81.19255,-132.35294,"ARO","Artic Sea Ice"
0.1672,81.19255,-121.76471,"ARO","Artic Sea Ice"
0.5969,81.19255,-111.17647,"ARO","Artic Sea Ice"
0.4265,81.19255,-100.58823,"NEN",NA
0.4066,81.19255,-90,"NEN",NA
0.3903,81.19255,-79.41177,"NEN",NA
0.386,81.19255,-68.82353,"GIC","Greenland Ice Sheet"
0.3505,81.19255,-58.23529,"GIC","Greenland Ice Sheet"
0.2852,81.19255,-47.64706,"GIC","Greenland Ice Sheet"
0.2299,81.19255,-37.05882,"GIC","Greenland Ice Sheet"
0.1701,81.19255,-26.47059,"GIC","Greenland Ice Sheet"
0.146,81.19255,-15.88235,"GIC","Greenland Ice Sheet"
0.5899,81.19255,-5.29412,"ARO","Artic Sea Ice"
0.6028,81.19255,5.29412,"ARO","Artic Sea Ice"
0.5964,81.19255,15.88235,"ARO","Artic Sea Ice"
0.5971,81.19255,26.47059,"ARO","Artic Sea Ice"
0.5961,81.19255,37.05882,"ARO","Artic Sea Ice"
0.6159,81.19255,47.64706,"ARO","Artic Sea Ice"
0.5544,81.19255,58.23529,"ARO","Artic Sea Ice"
0.6504,81.19255,68.82353,"ARO","Artic Sea Ice"
0.62,81.19255,79.41177,"ARO","Artic Sea Ice"
0.5605,81.19255,90,"RAR","Yedoma Permafrost"
0.5125,81.19255,100.58823,"RAR","Yedoma Permafrost"
0.3584,81.19255,111.17647,"ARO","Artic Sea Ice"
0.3963,81.19255,121.76471,"ARO","Artic Sea Ice"
0.4951,81.19255,132.35294,"ARO","Artic Sea Ice"
0.4091,81.19255,142.94118,"ARO","Artic Sea Ice"
0.1717,81.19255,153.52942,"ARO","Artic Sea Ice"
0.5942,81.19255,164.11765,"ARO","Artic Sea Ice"
0.6187,81.19255,174.70589,"ARO","Artic Sea Ice"
0.5685,79.58365,-175.60976,"ARO","Artic Sea Ice"
0.6987,79.58365,-166.82927,"ARO","Artic Sea Ice"
0.7059,79.58365,-158.04878,"ARO","Artic Sea Ice"
0.6837,79.58365,-149.2683,"ARO","Artic Sea Ice"
0.6642,79.58365,-140.48781,"ARO","Artic Sea Ice"
0.2436,79.58365,-131.70732,"ARO","Artic Sea Ice"
0.0967,79.58365,-122.92683,"ARO","Artic Sea Ice"
0.1973,79.58365,-114.14634,"ARO","Artic Sea Ice"
0.6067,79.58365,-105.36585,"NWN","Boreal Forest dying"
0.4539,79.58365,-96.58537,"NEN",NA
0.4068,79.58365,-87.80488,"NEN",NA
0.4186,79.58365,-79.02439,"NEN",NA
0.4885,79.58365,-70.2439,"GIC","Greenland Ice Sheet"
0.3969,79.58365,-61.46341,"GIC","Greenland Ice Sheet"
0.3676,79.58365,-52.68293,"GIC","Greenland Ice Sheet"
0.3208,79.58365,-43.90244,"GIC","Greenland Ice Sheet"
0.2495,79.58365,-35.12195,"GIC","Greenland Ice Sheet"
0.1936,79.58365,-26.34146,"GIC","Greenland Ice Sheet"
0.4521,79.58365,-17.56098,"GIC","Greenland Ice Sheet"
0.5495,79.58365,-8.78049,"ARO","Artic Sea Ice"
0.5939,79.58365,0,"ARO","Artic Sea Ice"
0.5743,79.58365,8.78049,"ARO","Artic Sea Ice"
0.2726,79.58365,17.56098,"ARO","Artic Sea Ice"
0.3892,79.58365,26.34146,"ARO","Artic Sea Ice"
0.575,79.58365,35.12195,"ARO","Artic Sea Ice"
0.5945,79.58365,43.90244,"ARO","Artic Sea Ice"
0.6263,79.58365,52.68293,"ARO","Artic Sea Ice"
0.6386,79.58365,61.46341,"ARO","Artic Sea Ice"
0.6723,79.58365,70.2439,"ARO","Artic Sea Ice"
0.622,79.58365,79.02439,"ARO","Artic Sea Ice"
0.5728,79.58365,87.80488,"RAR","Yedoma Permafrost"
0.2314,79.58365,96.58537,"RAR","Yedoma Permafrost"
0.2438,79.58365,105.36585,"RAR","Yedoma Permafrost"
0.3891,79.58365,114.14634,"RAR","Yedoma Permafrost"
0.4949,79.58365,122.92683,"ARO","Artic Sea Ice"
0.5753,79.58365,131.70732,"ARO","Artic Sea Ice"
0.5248,79.58365,140.48781,"ARO","Artic Sea Ice"
0.1443,79.58365,149.2683,"ARO","Artic Sea Ice"
0.4527,79.58365,158.04878,"ARO","Artic Sea Ice"
0.497,79.58365,166.82927,"ARO","Artic Sea Ice"
0.4949,79.58365,175.60976,"ARO","Artic Sea Ice"
0.5434,77.96286,-176.17021,"ARO","Artic Sea Ice"
0.4984,77.96286,-168.51064,"ARO","Artic Sea Ice"
0.4852,77.96286,-160.85106,"ARO","Artic Sea Ice"
0.7764,77.96286,-153.19148,"ARO","Artic Sea Ice"
0.7959,77.96286,-145.53192,"ARO","Artic Sea Ice"
0.7246,77.96286,-137.87234,"ARO","Artic Sea Ice"
0.6162,77.96286,-130.21277,"ARO","Artic Sea Ice"
0.3738,77.96286,-122.55319,"NWN","Boreal Forest dying"
0.4697,77.96286,-114.89362,"NWN","Boreal Forest dying"
0.4797,77.96286,-107.23404,"NWN","Boreal Forest dying"
0.5571,77.96286,-99.57447,"NEN",NA
0.2075,77.96286,-91.91489,"NEN",NA
0.4296,77.96286,-84.25532,"NEN",NA
0.4684,77.96286,-76.59574,"NEN",NA
0.4281,77.96286,-68.93617,"GIC","Greenland Ice Sheet"
0.418,77.96286,-61.2766,"GIC","Greenland Ice Sheet"
0.3969,77.96286,-53.61702,"GIC","Greenland Ice Sheet"
0.3632,77.96286,-45.95745,"GIC","Greenland Ice Sheet"
0.3123,77.96286,-38.29787,"GIC","Greenland Ice Sheet"
0.26,77.96286,-30.6383,"GIC","Greenland Ice Sheet"
0.1934,77.96286,-22.97872,"GIC","Greenland Ice Sheet"
0.5009,77.96286,-15.31915,"GIC","Greenland Ice Sheet"
0.4992,77.96286,-7.65957,"ARO","Artic Sea Ice"
0.5749,77.96286,0,"ARO","Artic Sea Ice"
0.5695,77.96286,7.65957,"ARO","Artic Sea Ice"
0.2572,77.96286,15.31915,"ARO","Artic Sea Ice"
0.3335,77.96286,22.97872,"ARO","Artic Sea Ice"
0.5656,77.96286,30.6383,"ARO","Artic Sea Ice"
0.5686,77.96286,38.29787,"ARO","Artic Sea Ice"
0.5989,77.96286,45.95745,"ARO","Artic Sea Ice"
0.631,77.96286,53.61702,"ARO","Artic Sea Ice"
0.6491,77.96286,61.2766,"ARO","Artic Sea Ice"
0.6655,77.96286,68.93617,"ARO","Artic Sea Ice"
0.6056,77.96286,76.59574,"RAR","Yedoma Permafrost"
0.6144,77.96286,84.25532,"RAR","Yedoma Permafrost"
0.569,77.96286,91.91489,"RAR","Yedoma Permafrost"
0.5755,77.96286,99.57447,"RAR","Yedoma Permafrost"
0.3588,77.96286,107.23404,"RAR","Yedoma Permafrost"
0.4587,77.96286,114.89362,"RAR","Yedoma Permafrost"
0.5483,77.96286,122.55319,"RAR","Yedoma Permafrost"
0.5787,77.96286,130.21277,"RAR","Yedoma Permafrost"
0.5796,77.96286,137.87234,"ARO","Artic Sea Ice"
0.1806,77.96286,145.53192,"ARO","Artic Sea Ice"
0.0802,77.96286,153.19148,"ARO","Artic Sea Ice"
0.217,77.96286,160.85106,"ARO","Artic Sea Ice"
0.3162,77.96286,168.51064,"ARO","Artic Sea Ice"
0.3389,77.96286,176.17021,"ARO","Artic Sea Ice"
0.4107,76.34991,-176.60378,"ARO","Artic Sea Ice"
0.5874,76.34991,-169.81133,"ARO","Artic Sea Ice"
0.6743,76.34991,-163.01888,"ARO","Artic Sea Ice"
0.6978,76.34991,-156.22641,"ARO","Artic Sea Ice"
0.7125,76.34991,-149.43396,"ARO","Artic Sea Ice"
0.7237,76.34991,-142.64151,"ARO","Artic Sea Ice"
0.7667,76.34991,-135.84906,"ARO","Artic Sea Ice"
0.7246,76.34991,-129.05661,"ARO","Artic Sea Ice"
0.3657,76.34991,-122.26415,"NWN","Boreal Forest dying"
0.3238,76.34991,-115.47169,"NWN","Boreal Forest dying"
0.4392,76.34991,-108.67924,"NWN","Boreal Forest dying"
0.4172,76.34991,-101.8868,"NEN",NA
0.4579,76.34991,-95.09434,"NEN",NA
0.4768,76.34991,-88.30189,"NEN",NA
0.4647,76.34991,-81.50944,"NEN",NA
0.1504,76.34991,-74.71698,"NEN",NA
0.4421,76.34991,-67.92453,"GIC","Greenland Ice Sheet"
0.4273,76.34991,-61.13208,"GIC","Greenland Ice Sheet"
0.4031,76.34991,-54.33962,"GIC","Greenland Ice Sheet"
0.386,76.34991,-47.54717,"GIC","Greenland Ice Sheet"
0.3615,76.34991,-40.75472,"GIC","Greenland Ice Sheet"
0.3065,76.34991,-33.96227,"GIC","Greenland Ice Sheet"
