"lag1","lat","lon","Acronym","Known_Tipping_system"
0.5447,89.21503,-120,"ARO","Artic Sea Ice"
0.5216,89.21503,0,"ARO","Artic Sea Ice"
0.5206,89.21503,120,"ARO","Artic Sea Ice"
0.5631,87.64494,-160,"ARO","Artic Sea Ice"
0.575,87.64494,-120,"ARO","Artic Sea Ice"
0.5635,87.64494,-80,"ARO","Artic Sea Ice"
0.5397,87.64494,-40,"ARO","Artic Sea Ice"
0.5156,87.64494,0,"ARO","Artic Sea Ice"
0.4925,87.64494,40,"ARO","Artic Sea Ice"
0.4914,87.64494,80,"ARO","Artic Sea Ice"
0.5113,87.64494,120,"ARO","Artic Sea Ice"
0.5395,87.64494,160,"ARO","Artic Sea Ice"
0.5724,86.03115,-168.75,"ARO","Artic Sea Ice"
0.5908,86.03115,-146.25,"ARO","Artic Sea Ice"
0.5986,86.03115,-123.75,"ARO","Artic Sea Ice"
0.594,86.03115,-101.25,"ARO","Artic Sea Ice"
0.5796,86.03115,-78.75,"ARO","Artic Sea Ice"
0.5618,86.03115,-56.25,"ARO","Artic Sea Ice"
0.5442,86.03115,-33.75,"ARO","Artic Sea Ice"
0.5312,86.03115,-11.25,"ARO","Artic Sea Ice"
0.5151,86.03115,11.25,"ARO","Artic Sea Ice"
0.5046,86.03115,33.75,"ARO","Artic Sea Ice"
0.4915,86.03115,56.25,"ARO","Artic Sea Ice"
0.4829,86.03115,78.75,"ARO","Artic Sea Ice"
0.487,86.03115,101.25,"ARO","Artic Sea Ice"
0.5021,86.03115,123.75,"ARO","Artic Sea Ice"
0.5251,86.03115,146.25,"ARO","Artic Sea Ice"
0.5495,86.03115,168.75,"ARO","Artic Sea Ice"
0.5699,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.5876,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.601,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.6079,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.6063,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.5959,84.39503,-90,"ARO","Artic Sea Ice"
0.582,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.5686,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.5599,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.5473,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.5346,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.5239,84.39503,8.18182,"ARO","Artic Sea Ice"
0.5244,84.39503,24.54545,"ARO","Artic Sea Ice"
0.5265,84.39503,40.90909,"ARO","Artic Sea Ice"
0.5081,84.39503,57.27273,"ARO","Artic Sea Ice"
0.4839,84.39503,73.63636,"ARO","Artic Sea Ice"
0.4773,84.39503,90,"ARO","Artic Sea Ice"
0.4808,84.39503,106.36364,"ARO","Artic Sea Ice"
0.4908,84.39503,122.72727,"ARO","Artic Sea Ice"
0.5069,84.39503,139.09091,"ARO","Artic Sea Ice"
0.5271,84.39503,155.45454,"ARO","Artic Sea Ice"
0.5495,84.39503,171.81818,"ARO","Artic Sea Ice"
0.5565,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.5674,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.5878,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.5917,82.78807,-135,"ARO","Artic Sea Ice"
0.5959,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.6009,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.5945,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.3765,82.78807,-83.57143,"NEN",NA
0.1058,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
