"lag1","lat","lon","Acronym","Known_Tipping_system"
0.444,89.21503,-120,"ARO","Artic Sea Ice"
0.3515,89.21503,0,"ARO","Artic Sea Ice"
0.476,89.21503,120,"ARO","Artic Sea Ice"
0.3557,87.64494,-160,"ARO","Artic Sea Ice"
0.1696,87.64494,-120,"ARO","Artic Sea Ice"
0.4325,87.64494,-80,"ARO","Artic Sea Ice"
0.3909,87.64494,-40,"ARO","Artic Sea Ice"
0.3626,87.64494,0,"ARO","Artic Sea Ice"
0.4616,87.64494,40,"ARO","Artic Sea Ice"
0.4851,87.64494,80,"ARO","Artic Sea Ice"
0.4053,87.64494,120,"ARO","Artic Sea Ice"
0.4228,87.64494,160,"ARO","Artic Sea Ice"
0.3022,86.03115,-168.75,"ARO","Artic Sea Ice"
0.3116,86.03115,-146.25,"ARO","Artic Sea Ice"
0.1355,86.03115,-123.75,"ARO","Artic Sea Ice"
0.1723,86.03115,-101.25,"ARO","Artic Sea Ice"
0.3957,86.03115,-78.75,"ARO","Artic Sea Ice"
0.4689,86.03115,-56.25,"ARO","Artic Sea Ice"
0.3431,86.03115,-33.75,"ARO","Artic Sea Ice"
0.3606,86.03115,-11.25,"ARO","Artic Sea Ice"
0.4316,86.03115,11.25,"ARO","Artic Sea Ice"
0.5065,86.03115,33.75,"ARO","Artic Sea Ice"
0.4911,86.03115,56.25,"ARO","Artic Sea Ice"
0.5288,86.03115,78.75,"ARO","Artic Sea Ice"
0.5669,86.03115,101.25,"ARO","Artic Sea Ice"
0.4769,86.03115,123.75,"ARO","Artic Sea Ice"
0.0344,86.03115,146.25,"ARO","Artic Sea Ice"
0.3193,86.03115,168.75,"ARO","Artic Sea Ice"
0.4018,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.4201,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.5268,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.4206,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.0494,84.39503,-106.36364,"ARO","Artic Sea Ice"
-0.0099,84.39503,-90,"ARO","Artic Sea Ice"
0.3332,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.2865,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.3288,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.2459,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.3556,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.4422,84.39503,8.18182,"ARO","Artic Sea Ice"
0.4814,84.39503,24.54545,"ARO","Artic Sea Ice"
0.431,84.39503,40.90909,"ARO","Artic Sea Ice"
0.4034,84.39503,57.27273,"ARO","Artic Sea Ice"
0.4961,84.39503,73.63636,"ARO","Artic Sea Ice"
0.5129,84.39503,90,"ARO","Artic Sea Ice"
0.3652,84.39503,106.36364,"ARO","Artic Sea Ice"
0.4917,84.39503,122.72727,"ARO","Artic Sea Ice"
0.3783,84.39503,139.09091,"ARO","Artic Sea Ice"
0.4387,84.39503,155.45454,"ARO","Artic Sea Ice"
0.4709,84.39503,171.81818,"ARO","Artic Sea Ice"
0.5963,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.471,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.4626,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.4117,82.78807,-135,"ARO","Artic Sea Ice"
0.4751,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.275,82.78807,-109.28571,"ARO","Artic Sea Ice"
-0.041,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.1355,82.78807,-83.57143,"NEN",NA
0.4517,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.2462,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.3761,82.78807,-45,"GIC","Greenland Ice Sheet"
0.3047,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.3271,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.4863,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.5549,82.78807,6.42857,"ARO","Artic Sea Ice"
0.5185,82.78807,19.28572,"ARO","Artic Sea Ice"
0.4588,82.78807,32.14286,"ARO","Artic Sea Ice"
0.3877,82.78807,45,"ARO","Artic Sea Ice"
0.3772,82.78807,57.85714,"ARO","Artic Sea Ice"
0.3707,82.78807,70.71429,"ARO","Artic Sea Ice"
0.4911,82.78807,83.57143,"ARO","Artic Sea Ice"
0.4526,82.78807,96.42857,"ARO","Artic Sea Ice"
0.3919,82.78807,109.28571,"ARO","Artic Sea Ice"
