"lag1","lat","lon","Acronym","Known_Tipping_system"
0.4479,89.21503,-120,"ARO","Artic Sea Ice"
0.4514,89.21503,0,"ARO","Artic Sea Ice"
0.4543,89.21503,120,"ARO","Artic Sea Ice"
0.4524,87.64494,-160,"ARO","Artic Sea Ice"
0.4569,87.64494,-120,"ARO","Artic Sea Ice"
0.4398,87.64494,-80,"ARO","Artic Sea Ice"
0.4359,87.64494,-40,"ARO","Artic Sea Ice"
0.4621,87.64494,0,"ARO","Artic Sea Ice"
0.4568,87.64494,40,"ARO","Artic Sea Ice"
0.468,87.64494,80,"ARO","Artic Sea Ice"
0.4679,87.64494,120,"ARO","Artic Sea Ice"
0.4509,87.64494,160,"ARO","Artic Sea Ice"
0.4607,86.03115,-168.75,"ARO","Artic Sea Ice"
0.4781,86.03115,-146.25,"ARO","Artic Sea Ice"
0.4937,86.03115,-123.75,"ARO","Artic Sea Ice"
0.4891,86.03115,-101.25,"ARO","Artic Sea Ice"
0.4625,86.03115,-78.75,"ARO","Artic Sea Ice"
0.4421,86.03115,-56.25,"ARO","Artic Sea Ice"
0.442,86.03115,-33.75,"ARO","Artic Sea Ice"
0.4523,86.03115,-11.25,"ARO","Artic Sea Ice"
0.463,86.03115,11.25,"ARO","Artic Sea Ice"
0.473,86.03115,33.75,"ARO","Artic Sea Ice"
0.4813,86.03115,56.25,"ARO","Artic Sea Ice"
0.4939,86.03115,78.75,"ARO","Artic Sea Ice"
0.5014,86.03115,101.25,"ARO","Artic Sea Ice"
0.4954,86.03115,123.75,"ARO","Artic Sea Ice"
0.478,86.03115,146.25,"ARO","Artic Sea Ice"
0.4637,86.03115,168.75,"ARO","Artic Sea Ice"
0.4815,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.4988,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.5207,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.5435,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.5514,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.5252,84.39503,-90,"ARO","Artic Sea Ice"
0.4841,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.4543,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.4439,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.4447,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.4476,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.4647,84.39503,8.18182,"ARO","Artic Sea Ice"
0.4811,84.39503,24.54545,"ARO","Artic Sea Ice"
0.4938,84.39503,40.90909,"ARO","Artic Sea Ice"
0.507,84.39503,57.27273,"ARO","Artic Sea Ice"
0.5208,84.39503,73.63636,"ARO","Artic Sea Ice"
0.5339,84.39503,90,"ARO","Artic Sea Ice"
0.5389,84.39503,106.36364,"ARO","Artic Sea Ice"
0.5286,84.39503,122.72727,"ARO","Artic Sea Ice"
0.5086,84.39503,139.09091,"ARO","Artic Sea Ice"
0.4867,84.39503,155.45454,"ARO","Artic Sea Ice"
0.4769,84.39503,171.81818,"ARO","Artic Sea Ice"
0.5059,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.5269,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.5483,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.5744,82.78807,-135,"ARO","Artic Sea Ice"
0.5931,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.6009,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.5926,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.4185,82.78807,-83.57143,"NEN",NA
0.2607,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.4652,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.1682,82.78807,-45,"GIC","Greenland Ice Sheet"
0.1947,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.4116,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.4374,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.4552,82.78807,6.42857,"ARO","Artic Sea Ice"
0.4823,82.78807,19.28572,"ARO","Artic Sea Ice"
0.5033,82.78807,32.14286,"ARO","Artic Sea Ice"
0.5226,82.78807,45,"ARO","Artic Sea Ice"
0.5398,82.78807,57.85714,"ARO","Artic Sea Ice"
0.549,82.78807,70.71429,"ARO","Artic Sea Ice"
0.5623,82.78807,83.57143,"ARO","Artic Sea Ice"
0.5738,82.78807,96.42857,"ARO","Artic Sea Ice"
0.5713,82.78807,109.28571,"ARO","Artic Sea Ice"
0.5567,82.78807,122.14286,"ARO","Artic Sea Ice"
0.5357,82.78807,135,"ARO","Artic Sea Ice"
0.5129,82.78807,147.85715,"ARO","Artic Sea Ice"
0.5,82.78807,160.71428,"ARO","Artic Sea Ice"
0.4957,82.78807,173.57143,"ARO","Artic Sea Ice"
0.5345,81.19255,-174.70589,"ARO","Artic Sea Ice"
0.5632,81.19255,-164.11765,"ARO","Artic Sea Ice"
0.5912,81.19255,-153.52942,"ARO","Artic Sea Ice"
0.6142,81.19255,-142.94118,"ARO","Artic Sea Ice"
0.6329,81.19255,-132.35294,"ARO","Artic Sea Ice"
0.6457,81.19255,-121.76471,"ARO","Artic Sea Ice"
0.6451,81.19255,-111.17647,"ARO","Artic Sea Ice"
0.6439,81.19255,-100.58823,"NEN",NA
0.3215,81.19255,-90,"NEN",NA
0.2461,81.19255,-79.41177,"NEN",NA
0.2377,81.19255,-68.82353,"GIC","Greenland Ice Sheet"
0.2382,81.19255,-58.23529,"GIC","Greenland Ice Sheet"
0.2037,81.19255,-47.64706,"GIC","Greenland Ice Sheet"
0.1908,81.19255,-37.05882,"GIC","Greenland Ice Sheet"
0.1572,81.19255,-26.47059,"GIC","Greenland Ice Sheet"
0.1575,81.19255,-15.88235,"GIC","Greenland Ice Sheet"
0.4416,81.19255,-5.29412,"ARO","Artic Sea Ice"
0.4871,81.19255,5.29412,"ARO","Artic Sea Ice"
0.5301,81.19255,15.88235,"ARO","Artic Sea Ice"
0.5518,81.19255,26.47059,"ARO","Artic Sea Ice"
0.5612,81.19255,37.05882,"ARO","Artic Sea Ice"
0.5894,81.19255,47.64706,"ARO","Artic Sea Ice"
0.5584,81.19255,58.23529,"ARO","Artic Sea Ice"
0.5919,81.19255,68.82353,"ARO","Artic Sea Ice"
0.5969,81.19255,79.41177,"ARO","Artic Sea Ice"
0.5964,81.19255,90,"RAR","Yedoma Permafrost"
0.6027,81.19255,100.58823,"RAR","Yedoma Permafrost"
0.5943,81.19255,111.17647,"ARO","Artic Sea Ice"
0.5785,81.19255,121.76471,"ARO","Artic Sea Ice"
0.5589,81.19255,132.35294,"ARO","Artic Sea Ice"
0.538,81.19255,142.94118,"ARO","Artic Sea Ice"
0.5247,81.19255,153.52942,"ARO","Artic Sea Ice"
0.5166,81.19255,164.11765,"ARO","Artic Sea Ice"
0.5175,81.19255,174.70589,"ARO","Artic Sea Ice"
0.562,79.58365,-175.60976,"ARO","Artic Sea Ice"
0.5944,79.58365,-166.82927,"ARO","Artic Sea Ice"
0.6297,79.58365,-158.04878,"ARO","Artic Sea Ice"
0.6551,79.58365,-149.2683,"ARO","Artic Sea Ice"
0.6709,79.58365,-140.48781,"ARO","Artic Sea Ice"
0.6828,79.58365,-131.70732,"ARO","Artic Sea Ice"
0.6901,79.58365,-122.92683,"ARO","Artic Sea Ice"
0.6908,79.58365,-114.14634,"ARO","Artic Sea Ice"
0.6668,79.58365,-105.36585,"NWN","Boreal Forest dying"
0.5505,79.58365,-96.58537,"NEN",NA
0.2886,79.58365,-87.80488,"NEN",NA
0.2612,79.58365,-79.02439,"NEN",NA
0.5716,79.58365,-70.2439,"GIC","Greenland Ice Sheet"
0.2385,79.58365,-61.46341,"GIC","Greenland Ice Sheet"
0.2295,79.58365,-52.68293,"GIC","Greenland Ice Sheet"
0.1959,79.58365,-43.90244,"GIC","Greenland Ice Sheet"
0.1852,79.58365,-35.12195,"GIC","Greenland Ice Sheet"
0.1745,79.58365,-26.34146,"GIC","Greenland Ice Sheet"
0.2085,79.58365,-17.56098,"GIC","Greenland Ice Sheet"
0.411,79.58365,-8.78049,"ARO","Artic Sea Ice"
0.4812,79.58365,0,"ARO","Artic Sea Ice"
0.5572,79.58365,8.78049,"ARO","Artic Sea Ice"
0.4754,79.58365,17.56098,"ARO","Artic Sea Ice"
0.5237,79.58365,26.34146,"ARO","Artic Sea Ice"
0.6135,79.58365,35.12195,"ARO","Artic Sea Ice"
0.6129,79.58365,43.90244,"ARO","Artic Sea Ice"
0.625,79.58365,52.68293,"ARO","Artic Sea Ice"
0.6335,79.58365,61.46341,"ARO","Artic Sea Ice"
0.6305,79.58365,70.2439,"ARO","Artic Sea Ice"
0.6231,79.58365,79.02439,"ARO","Artic Sea Ice"
0.6286,79.58365,87.80488,"RAR","Yedoma Permafrost"
0.4521,79.58365,96.58537,"RAR","Yedoma Permafrost"
0.612,79.58365,105.36585,"RAR","Yedoma Permafrost"
0.605,79.58365,114.14634,"RAR","Yedoma Permafrost"
0.5879,79.58365,122.92683,"ARO","Artic Sea Ice"
0.5721,79.58365,131.70732,"ARO","Artic Sea Ice"
0.5576,79.58365,140.48781,"ARO","Artic Sea Ice"
0.5498,79.58365,149.2683,"ARO","Artic Sea Ice"
0.55,79.58365,158.04878,"ARO","Artic Sea Ice"
0.5427,79.58365,166.82927,"ARO","Artic Sea Ice"
0.5433,79.58365,175.60976,"ARO","Artic Sea Ice"
0.5857,77.96286,-176.17021,"ARO","Artic Sea Ice"
0.6139,77.96286,-168.51064,"ARO","Artic Sea Ice"
0.657,77.96286,-160.85106,"ARO","Artic Sea Ice"
0.6879,77.96286,-153.19148,"ARO","Artic Sea Ice"
0.7011,77.96286,-145.53192,"ARO","Artic Sea Ice"
0.7115,77.96286,-137.87234,"ARO","Artic Sea Ice"
0.7199,77.96286,-130.21277,"ARO","Artic Sea Ice"
0.7236,77.96286,-122.55319,"NWN","Boreal Forest dying"
0.7058,77.96286,-114.89362,"NWN","Boreal Forest dying"
0.7182,77.96286,-107.23404,"NWN","Boreal Forest dying"
0.572,77.96286,-99.57447,"NEN",NA
0.6267,77.96286,-91.91489,"NEN",NA
0.3544,77.96286,-84.25532,"NEN",NA
0.4318,77.96286,-76.59574,"NEN",NA
0.2926,77.96286,-68.93617,"GIC","Greenland Ice Sheet"
0.2676,77.96286,-61.2766,"GIC","Greenland Ice Sheet"
