"lag1","lat","lon","Acronym","Known_Tipping_system"
0.3218,89.21503,-120,"ARO","Artic Sea Ice"
0.3251,89.21503,0,"ARO","Artic Sea Ice"
0.2968,89.21503,120,"ARO","Artic Sea Ice"
0.3027,87.64494,-160,"ARO","Artic Sea Ice"
0.3367,87.64494,-120,"ARO","Artic Sea Ice"
0.3749,87.64494,-80,"ARO","Artic Sea Ice"
0.3637,87.64494,-40,"ARO","Artic Sea Ice"
0.342,87.64494,0,"ARO","Artic Sea Ice"
0.3115,87.64494,40,"ARO","Artic Sea Ice"
0.2931,87.64494,80,"ARO","Artic Sea Ice"
0.2764,87.64494,120,"ARO","Artic Sea Ice"
0.2598,87.64494,160,"ARO","Artic Sea Ice"
0.3302,86.03115,-168.75,"ARO","Artic Sea Ice"
0.369,86.03115,-146.25,"ARO","Artic Sea Ice"
0.406,86.03115,-123.75,"ARO","Artic Sea Ice"
0.4379,86.03115,-101.25,"ARO","Artic Sea Ice"
0.4428,86.03115,-78.75,"ARO","Artic Sea Ice"
0.4353,86.03115,-56.25,"ARO","Artic Sea Ice"
0.419,86.03115,-33.75,"ARO","Artic Sea Ice"
0.381,86.03115,-11.25,"ARO","Artic Sea Ice"
0.3645,86.03115,11.25,"ARO","Artic Sea Ice"
0.3531,86.03115,33.75,"ARO","Artic Sea Ice"
0.3276,86.03115,56.25,"ARO","Artic Sea Ice"
0.2996,86.03115,78.75,"ARO","Artic Sea Ice"
0.2828,86.03115,101.25,"ARO","Artic Sea Ice"
0.267,86.03115,123.75,"ARO","Artic Sea Ice"
0.2654,86.03115,146.25,"ARO","Artic Sea Ice"
0.2877,86.03115,168.75,"ARO","Artic Sea Ice"
0.3868,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.4233,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.4525,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.4789,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.5069,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.5054,84.39503,-90,"ARO","Artic Sea Ice"
0.4975,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
