"lag1","lat","lon","Acronym","Known_Tipping_system"
0.4762,89.21503,-120,"ARO","Artic Sea Ice"
0.6535,89.21503,0,"ARO","Artic Sea Ice"
0.4765,89.21503,120,"ARO","Artic Sea Ice"
0.4631,87.64494,-160,"ARO","Artic Sea Ice"
0.3936,87.64494,-120,"ARO","Artic Sea Ice"
0.6542,87.64494,-80,"ARO","Artic Sea Ice"
0.6305,87.64494,-40,"ARO","Artic Sea Ice"
0.6403,87.64494,0,"ARO","Artic Sea Ice"
0.6521,87.64494,40,"ARO","Artic Sea Ice"
0.6604,87.64494,80,"ARO","Artic Sea Ice"
0.3441,87.64494,120,"ARO","Artic Sea Ice"
0.447,87.64494,160,"ARO","Artic Sea Ice"
0.3718,86.03115,-168.75,"ARO","Artic Sea Ice"
0.4538,86.03115,-146.25,"ARO","Artic Sea Ice"
0.4713,86.03115,-123.75,"ARO","Artic Sea Ice"
0.2351,86.03115,-101.25,"ARO","Artic Sea Ice"
0.6408,86.03115,-78.75,"ARO","Artic Sea Ice"
0.6063,86.03115,-56.25,"ARO","Artic Sea Ice"
0.6152,86.03115,-33.75,"ARO","Artic Sea Ice"
0.6354,86.03115,-11.25,"ARO","Artic Sea Ice"
0.6492,86.03115,11.25,"ARO","Artic Sea Ice"
0.662,86.03115,33.75,"ARO","Artic Sea Ice"
0.6641,86.03115,56.25,"ARO","Artic Sea Ice"
0.674,86.03115,78.75,"ARO","Artic Sea Ice"
0.4923,86.03115,101.25,"ARO","Artic Sea Ice"
0.4176,86.03115,123.75,"ARO","Artic Sea Ice"
0.5199,86.03115,146.25,"ARO","Artic Sea Ice"
0.3434,86.03115,168.75,"ARO","Artic Sea Ice"
0.5262,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.5444,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.6597,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.645,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.4653,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.5755,84.39503,-90,"ARO","Artic Sea Ice"
0.6222,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.5882,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.5868,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.6148,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.636,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.6463,84.39503,8.18182,"ARO","Artic Sea Ice"
0.6573,84.39503,24.54545,"ARO","Artic Sea Ice"
0.6713,84.39503,40.90909,"ARO","Artic Sea Ice"
0.6675,84.39503,57.27273,"ARO","Artic Sea Ice"
0.6812,84.39503,73.63636,"ARO","Artic Sea Ice"
0.6607,84.39503,90,"ARO","Artic Sea Ice"
0.3763,84.39503,106.36364,"ARO","Artic Sea Ice"
0.5563,84.39503,122.72727,"ARO","Artic Sea Ice"
0.4889,84.39503,139.09091,"ARO","Artic Sea Ice"
0.3156,84.39503,155.45454,"ARO","Artic Sea Ice"
0.4017,84.39503,171.81818,"ARO","Artic Sea Ice"
0.7157,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.6394,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.6262,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.6151,82.78807,-135,"ARO","Artic Sea Ice"
0.6493,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.6075,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.4322,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.4296,82.78807,-83.57143,"NEN",NA
0.3078,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.5616,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.3484,82.78807,-45,"GIC","Greenland Ice Sheet"
0.3366,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.6165,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.6204,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.6365,82.78807,6.42857,"ARO","Artic Sea Ice"
0.6527,82.78807,19.28572,"ARO","Artic Sea Ice"
0.6595,82.78807,32.14286,"ARO","Artic Sea Ice"
0.6702,82.78807,45,"ARO","Artic Sea Ice"
0.6773,82.78807,57.85714,"ARO","Artic Sea Ice"
0.6752,82.78807,70.71429,"ARO","Artic Sea Ice"
0.6925,82.78807,83.57143,"ARO","Artic Sea Ice"
